Station,Latitude,Longitude
Paddington,51.51604546190405,-0.1751550581298344
Embankment,51.50728609109733,-0.12219420843296866
Marylebone,51.52256123478623,-0.16281685253987682
Edgware Road,51.52045932455832,-0.17023941672343693
Regent's Park,51.52361336788246,-0.14677754132330603
Lambeth North,51.499064609925604,-0.11210860167128765
Marble Arch,51.51344035694199,-0.15832606595661491
St. Paul's,51.514928952867415,-0.09756064636101283
Chancery Lane,51.518217932537944,-0.1114986562185097
Lancaster Gate,51.51183325986205,-0.17537256895895845
Aldgate,51.51417320102082,-0.07551559963904868
Tower Hill,51.510126718262896,-0.07665976834385135
Monument,51.51100520445336,-0.08666416366870136
Cannon Street,51.51109368430387,-0.09035312770972595
Mansion House,51.51230096417939,-0.09363058491324316
Blackfriars,51.5114831827643,-0.1031310529167995
Temple,51.51103369401793,-0.11428472107701147
St. James's Park,51.49948733483708,-0.13371433432271115
Sloane Square,51.49249883109123,-0.15638988633099393
Great Portland Street,51.52313134089576,-0.14383080114179744
Euston Square,51.52576179854042,-0.13508407468114508
Aldgate East,51.51535686244215,-0.0718197360155189
Barbican,51.520230061039086,-0.09767426473330493
Farringdon,51.52017413436844,-0.10474698641827175
Covent Garden,51.513006858349456,-0.12416061780663135
Knightsbridge,51.501540221966366,-0.16053497170437442
Russell Square,51.523087165505196,-0.12426441226918597
Caledonian Road,51.54856587007831,-0.11825151608687674
South Kensington,51.49416945587004,-0.17395392337749038
Hyde Park Corner,51.50303596802685,-0.15234908337491462
Southwark,51.503909933453215,-0.10495905395769478
Westminster,51.501387171775825,-0.12485855730193467
St. John's Wood,51.534860068271016,-0.17412908817551417
Victoria,51.49566449033251,-0.14372675929502332
Warren Street,51.524628954294094,-0.138170112506217
Pimlico,51.48930659335895,-0.13333196595863256
Vauxhall,51.48631929678031,-0.12358905504927968
Highbury & Islington,51.54620587900736,-0.1046867611857996
Camden Town,51.53956282988328,-0.1426555333987208
Chalk Farm,51.54418702415798,-0.15381352220568367
Borough,51.501253364078984,-0.09361241464946041
Belsize Park,51.55057204383521,-0.16429559488112913
Goodge Street,51.52064959904572,-0.13450202589171137
Oval,51.4821808458388,-0.11288406118791176
Bank,51.5133992600477,-0.08891176846785534
Moorgate,51.51853729312291,-0.08839133301863529
Old Street,51.52568279362167,-0.08749327033845601
Angel,51.532851697912776,-0.10581051822743978
Mornington Crescent,51.53435831723973,-0.13889646582700796
Elephant & Castle,51.494614508696195,-0.10033324355433457
Stockwell,51.472368675916904,-0.12281712586320397
Euston,51.52848354449965,-0.133200579980091
Waterloo,51.50308820734314,-0.11517018730842989
Holborn,51.51743686563021,-0.11999094584032641
Bond Street,51.5143439226983,-0.14885381975490258
London Bridge,51.50588055490595,-0.086962017222042
Liverpool Street,51.517438801538425,-0.08296509068230405
Charing Cross,51.508591721063326,-0.12587666335560496
Leicester Square,51.5114626760695,-0.12813968186882202
Baker Street,51.523161374834174,-0.15687374703316
Piccadilly Circus,51.510122594168806,-0.134168249064693
Finsbury Park,51.564738837098055,-0.10574278615794237
Tottenham Court Road,51.51628637415419,-0.13004048865449244
Green Park,51.506971095810016,-0.14287307128700233
Oxford Circus,51.515217154456174,-0.14185843970613782
King's Cross St. Pancras,51.53069127514982,-0.12315643929460993
Whitechapel,51.51965295094,-0.05988550656553396
Knightsbridge, 51.501686179988866, -0.16060257570016506
